TimeStamp	Reference	Position	Speed	Current	Voltage	Error	Kp x Error	Error Sum / Ti	Td x Delta PV	PID Output			9.9	-1	2.5	-9.9
293	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
293.01	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526						
293.02	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526						
293.03	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526						
293.04	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
293.05	0.001526	0	0	-0.057575	0	0.001526	0.001526	0.001526	0.001526	0.001526						
293.06	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
293.07	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
293.08	0.001526	0	0	0.080605	0	0.001526	0.001526	0.001526	0.001526	0.001526						
293.09	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
293.1	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
293.11	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
293.12	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
293.13	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526						
293.13	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526						
293.14	0.001526	0	0	-0.057575	0	0.001526	0.001526	0.001526	0.001526	0.001526						
293.15	0.001526	0	0	0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526						
293.16	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
293.17	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
293.18	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
293.19	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
293.2	0.001526	0	0	-0.080605	0	0.001526	0.001526	0.001526	0.001526	0.001526						
293.21	0.001526	0	0	-0.057575	0	0.001526	0.001526	0.001526	0.001526	0.001526						
293.22	0.001526	0	0	-0.080605	0	0.001526	0.001526	0.001526	0.001526	0.001526						
293.23	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
293.24	0.001526	0	0	0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526						
293.25	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
293.26	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
293.27	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
293.28	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526						
293.29	0.001526	0	0	0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526						
293.29	0.001526	0	0	0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526						
293.3	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526						
293.31	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526						
