TimeStamp	Reference	Position	Speed	Current	Voltage	Error	Kp x Error	Error Sum / Ti	Td x Delta PV	PID Output		TimeStamp	Position	Reference
60.3	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.3	0	0.001526
60.31	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.31	0	0.001526
60.32	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.32	0	0.001526
60.32	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.32	0	0.001526
60.33	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.33	0	0.001526
60.34	0.001526	0	0	0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.34	0	0.001526
60.35	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.35	0	0.001526
60.36	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.36	0	0.001526
60.37	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.37	0	0.001526
60.38	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.38	0	0.001526
60.39	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.39	0	0.001526
60.4	0.001526	0	0	-0.080605	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.4	0	0.001526
60.41	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.41	0	0.001526
60.42	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.42	0	0.001526
60.43	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.43	0	0.001526
60.44	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.44	0	0.001526
60.45	0.001526	0	0	-0.057575	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.45	0	0.001526
60.46	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.46	0	0.001526
60.47	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.47	0	0.001526
60.48	0.001526	0	0	0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.48	0	0.001526
60.48	0.001526	0	0	0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.48	0	0.001526
60.49	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.49	0	0.001526
60.5	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.5	0	0.001526
60.51	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.51	0	0.001526
60.52	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.52	0	0.001526
60.53	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.53	0	0.001526
60.54	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.54	0	0.001526
60.55	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.55	0	0.001526
60.56	0.001526	0	0	0.100756	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.56	0	0.001526
60.57	0.001526	0	0	-0.057575	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.57	0	0.001526
60.58	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.58	0	0.001526
60.59	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.59	0	0.001526
60.6	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.6	0	0.001526
60.61	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.61	0	0.001526
60.62	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.62	0	0.001526
60.63	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.63	0	0.001526
60.64	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.64	0	0.001526
60.64	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.64	0	0.001526
60.65	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.65	0	0.001526
60.66	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.66	0	0.001526
60.67	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.67	0	0.001526
60.68	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.68	0	0.001526
60.69	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.69	0	0.001526
60.7	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.7	0	0.001526
60.71	0.001526	0	0	-0.057575	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.71	0	0.001526
60.72	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.72	0	0.001526
60.73	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.73	0	0.001526
60.74	0.001526	0	0	0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.74	0	0.001526
60.75	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.75	0	0.001526
60.76	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.76	0	0.001526
60.77	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.77	0	0.001526
60.78	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.78	0	0.001526
60.79	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.79	0	0.001526
60.8	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.8	0	0.001526
60.81	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.81	0	0.001526
60.82	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.82	0	0.001526
60.83	0.001526	0	0	0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.83	0	0.001526
60.84	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.84	0	0.001526
60.85	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.85	0	0.001526
60.86	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.86	0	0.001526
60.87	0.001526	0	0	-0.080605	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.87	0	0.001526
60.88	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.88	0	0.001526
60.89	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.89	0	0.001526
60.9	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.9	0	0.001526
60.91	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.91	0	0.001526
60.92	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.92	0	0.001526
60.93	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.93	0	0.001526
60.94	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.94	0	0.001526
60.95	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.95	0	0.001526
60.96	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.96	0	0.001526
60.96	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.96	0	0.001526
60.97	0.001526	0	0	-0.057575	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.97	0	0.001526
60.98	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.98	0	0.001526
60.99	0.001526	0	0	-0.057575	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.99	0	0.001526
61	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		61	0	0.001526
61.01	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		61.01	0	0.001526
61.02	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		61.02	0	0.001526
61.03	0.001526	0	0	-0.057575	0	0.001526	0.001526	0.001526	0.001526	0.001526		61.03	0	0.001526
61.04	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		61.04	0	0.001526
61.05	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		61.05	0	0.001526
61.06	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		61.06	0	0.001526
61.07	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		61.07	0	0.001526
61.08	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		61.08	0	0.001526
61.09	0.001526	0	0	-0.103634	0	0.001526	0.001526	0.001526	0.001526	0.001526		61.09	0	0.001526
61.1	0.001526	0	0	0.057575	0	0.001526	0.001526	0.001526	0.001526	0.001526		61.1	0	0.001526
61.11	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		61.11	0	0.001526
61.12	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		61.12	0	0.001526
61.12	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		61.12	0	0.001526
61.13	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		61.13	0	0.001526
61.14	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		61.14	0	0.001526
61.15	0.001526	0	0	-0.057575	0	0.001526	0.001526	0.001526	0.001526	0.001526		61.15	0	0.001526
61.16	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		61.16	0	0.001526
61.17	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		61.17	0	0.001526
61.18	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		61.18	0	0.001526
61.19	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		61.19	0	0.001526
61.2	0.001526	0	0	-0.103634	0	0.001526	0.001526	0.001526	0.001526	0.001526		61.2	0	0.001526
